experiment,time,CO2_ppm,A_zsat,I_zsat,P_zsat,A_zcc,I_zcc,P_zcc,A_deep_CO3,I_deep_CO3,P_deep_CO3,A_deep_DIC,I_deep_DIC,P_deep_DIC,A_deep_TA,I_deep_TA,P_deep_TA,H_DIC,H_TA,deep temperature,surface temperature,high-deep mixing (Atlantic),high-deep mixing (Indian),high-deep mixing (Pacific),thermohaline circulation:,thermohaline upwelling (Atlantic),thermohaline upwelling (Indian),high-lat PO4 export constant
control,1300.0,280.0546639954454,4673,3473,2937,4912,3756,3446,105.61350532009408,83.38869938576788,75.03716301399864,2208.549205717014,2287.8476571051865,2342.948208981393,2343.7299835618583,2379.830849389942,2416.184262282192,2141.052004430894,2323.75986096852,2,20,4 Sverdrup,3 Sverdrup,10 Sverdrup,20 Sverdrup,0.2,0.2,1.8
control,1400.0,280.0580942980304,4673,3473,2937,4912,3756,3446,105.61228499172236,83.38774317180005,75.0361565202821,2208.5461318652483,2287.844347335859,2342.9446880870064,2343.724965669938,2379.825893569414,2416.1789062804883,2141.0486463655748,2323.753690122745,2,20,4 Sverdrup,3 Sverdrup,10 Sverdrup,20 Sverdrup,0.2,0.2,1.8
control,1500.0,280.0611943684702,4673,3473,2937,4912,3756,3446,105.61102505547802,83.38676036285614,75.03605297243253,2208.543177520997,2287.8411883213103,2342.942993206961,2343.719991933413,2379.821037761342,2416.1771035551155,2141.0460524597606,2323.748659395694,2,20,4 Sverdrup,3 Sverdrup,10 Sverdrup,20 Sverdrup,0.2,0.2,1.8
control,1600.0,280.06390121374034,4673,3473,2937,4912,3756,3446,105.60978286278512,83.38577763297263,75.03635892700974,2208.5404574042277,2287.838223141952,2342.9421709960056,2343.7152747616806,2379.8163624578297,2416.1769299883854,2141.0439493638587,2323.7444654658234,2,20,4 Sverdrup,3 Sverdrup,10 Sverdrup,20 Sverdrup,0.2,0.2,1.8
control,1700.0,280.0661023994482,4673,3473,2937,4912,3756,3446,105.60984685319733,83.38718455751703,75.03662015183802,2208.540139488086,2287.8398061395874,2342.941403370742,2343.715098465873,2379.8205565878247,2416.1767230571054,2141.042980498605,2323.741971620704,2,20,4 Sverdrup,3 Sverdrup,10 Sverdrup,20 Sverdrup,0.2,0.2,1.8
control,1800.0,280.0678994065696,4673,3473,2937,4912,3756,3446,105.60919840132148,83.38715662897766,75.03685161864871,2208.5388009739418,2287.838931387388,2342.940703173265,2343.71269358388,2379.8196240577586,2416.17651577036,2141.041907826196,2323.739577516371,2,20,4 Sverdrup,3 Sverdrup,10 Sverdrup,20 Sverdrup,0.2,0.2,1.8
control,1900.0,280.06938583843,4673,3473,2937,4912,3756,3446,105.60906181992988,83.38795316467755,75.03703954754614,2208.538447276753,2287.8397933024385,2342.9400394343697,2343.7121440021338,2379.821988103068,2416.1762594944444,2141.041208183728,2323.7378363263,2,20,4 Sverdrup,3 Sverdrup,10 Sverdrup,20 Sverdrup,0.2,0.2,1.8
control,2000.0,280.0705728671518,4673,3473,2937,4912,3756,3446,105.6095821506908,83.38772812114851,75.0371846749035,2208.5392575374453,2287.8388841815827,2342.939411470954,2343.713800623588,2379.820648408932,2416.1759493413147,2141.040788987264,2323.736607226138,2,20,4 Sverdrup,3 Sverdrup,10 Sverdrup,20 Sverdrup,0.2,0.2,1.8
control,2100.0,280.0717469837707,4673,3473,2937,4912,3756,3446,105.60848437968257,83.38984492430558,75.03551947182463,2208.537333818308,2287.8423746961025,2342.935380043552,2343.71007289502,2379.8280269908264,2416.1687623828275,2141.0391299941502,2323.733861423793,2,20,4 Sverdrup,3 Sverdrup,10 Sverdrup,20 Sverdrup,0.2,0.2,1.8
control,2200.0,280.07316182808336,4673,3473,2937,4912,3756,3446,105.60671134432842,83.38942343442766,75.03380940581509,2208.5340886689805,2287.8411309176518,2342.931320680961,2343.7039450998104,2379.8259591950496,2416.1615069594563,2141.0365690128174,2323.7298653547105,2,20,4 Sverdrup,3 Sverdrup,10 Sverdrup,20 Sverdrup,0.2,0.2,1.8
