,Ocean DIC [1 mol],Ocean DIC [1.0 mol/l],Ocean C^{12$S,Ocean C^{13}$S ,Ocean $\delta^{13}$C [VPDB],Fossil_Fuel_Burning_to_Ocean DIC [1.0 mol/a],Fossil_Fuel_Burning_to_Ocean DIC [C^{12$S],Fossil_Fuel_Burning_to_Ocean DIC [C^{13}$S],Fossil_Fuel_Burning_to_Ocean DIC $\delta^{13}$C [VPDB],Carbonate_Weathering_to_Ocean DIC [1.0 mol/a],Carbonate_Weathering_to_Ocean DIC [C^{12$S],Carbonate_Weathering_to_Ocean DIC [C^{13}$S],Carbonate_Weathering_to_Ocean DIC $\delta^{13}$C [VPDB],Organic_Weathering_to_Ocean DIC [1.0 mol/a],Organic_Weathering_to_Ocean DIC [C^{12$S],Organic_Weathering_to_Ocean DIC [C^{13}$S],Organic_Weathering_to_Ocean DIC $\delta^{13}$C [VPDB],Volcanic_to_Ocean DIC [1.0 mol/a],Volcanic_to_Ocean DIC [C^{12$S],Volcanic_to_Ocean DIC [C^{13}$S],Volcanic_to_Ocean DIC $\delta^{13}$C [VPDB],Ocean_to_OM_burial DIC [1.0 mol/a],Ocean_to_OM_burial DIC [C^{12$S],Ocean_to_OM_burial DIC [C^{13}$S],Ocean_to_OM_burial DIC $\delta^{13}$C [VPDB],Ocean_to_Carbonate_burial DIC [1.0 mol/a],Ocean_to_Carbonate_burial DIC [C^{12$S],Ocean_to_Carbonate_burial DIC [C^{13}$S],Ocean_to_Carbonate_burial DIC $\delta^{13}$C [VPDB]
10,3.496125e+18,0.002624718468468469,3.4572000835575265e+18,3.89249164424729e+16,1.94772526879,660000000000000.0,652861743145388.6,7138256854611.38,-27.0,12300000000000.0,12163318358936.953,136681641063.04631,0.0,4000000000000.0,3956429988830.919,43570011169.080986,-20.0,6000000000000.0,5933655712408.382,66344287591.61808,-5.0,4200000000000.0,4154453129001.77,45546870998.229965,-24.366794872942002,18100000000000.0,17898478373059.664,201521626940.33353,1.953205127058
11,3.496792e+18,0.00262521921921922,3.4578598700631025e+18,3.893212993689715e+16,1.94218955849,667000000000000.0,659786034360567.0,7213965639433.016,-27.0,12300000000000.0,12163318358936.953,136681641063.04631,0.0,4000000000000.0,3956429988830.919,43570011169.080986,-20.0,6000000000000.0,5933655712408.382,66344287591.61808,-5.0,4200000000000.0,4154453382051.5127,45546617948.48748,-24.372274731210002,18100000000000.0,17898479462945.758,201520537054.24142,1.94772526879
12,3.497466e+18,0.002625725225225226,3.458526580858537e+18,3.893941914146285e+16,1.93659806173,674000000000000.0,666710325575745.4,7289674424254.651,-27.0,12300000000000.0,12163318358936.953,136681641063.04631,0.0,4000000000000.0,3956429988830.919,43570011169.080986,-20.0,6000000000000.0,5933655712408.382,66344287591.61808,-5.0,4200000000000.0,4154453637680.43,45546362319.56992,-24.37781044151,18100000000000.0,17898480563940.367,201519436059.6336,1.94218955849
13,3.498147e+18,0.002626236486486487,3.459200215943816e+18,3.894678405618366e+16,1.930950844697,681000000000000.0,673634616790923.6,7365383209076.287,-27.0,12300000000000.0,12163318358936.953,136681641063.04631,0.0,4000000000000.0,3956429988830.919,43570011169.080986,-20.0,6000000000000.0,5933655712408.382,66344287591.61808,-5.0,4200000000000.0,4154453895885.4956,45546104114.50434,-24.38340193827,18100000000000.0,17898481676030.453,201518323969.54764,1.93659806173
14,3.498835e+18,0.0026267530030030036,3.459880775318927e+18,3.8954224681073256e+16,1.9252479742,688000000000000.0,680558908006102.0,7441091993897.923,-27.0,12300000000000.0,12163318358936.953,136681641063.04631,0.0,4000000000000.0,3956429988830.919,43570011169.080986,-20.0,6000000000000.0,5933655712408.382,66344287591.61808,-5.0,4200000000000.0,4154454156663.654,45545843336.346176,-24.389049155303,18100000000000.0,17898482799202.855,201517200797.14325,1.930950844697
15,3.49953e+18,0.0026272747747747753,3.460568258983855e+18,3.8961741016145256e+16,1.919489517659,695000000000000.0,687483199221280.4,7516800778719.56,-27.0,12300000000000.0,12163318358936.953,136681641063.04631,0.0,4000000000000.0,3956429988830.919,43570011169.080986,-20.0,6000000000000.0,5933655712408.382,66344287591.61808,-5.0,4200000000000.0,4154454420011.8203,45545579988.17955,-24.3947520258,18100000000000.0,17898483933444.297,201516066555.7039,1.9252479742
16,3.500232e+18,0.0026278018018018024,3.461262666938587e+18,3.896933306141329e+16,1.913675543111,702000000000000.0,694407490436458.8,7592509563541.195,-27.0,12300000000000.0,12163318358936.953,136681641063.04631,0.0,4000000000000.0,3956429988830.919,43570011169.080986,-20.0,6000000000000.0,5933655712408.382,66344287591.61808,-5.0,4200000000000.0,4154454685926.8833,45545314073.11685,-24.400510482341,18100000000000.0,17898485078741.367,201514921258.63446,1.919489517659
17,3.500941e+18,0.0026283340840840847,3.4619639991831096e+18,3.897700081689096e+16,1.907806119203,709000000000000.0,701331781651637.1,7668218348362.83,-27.0,12300000000000.0,12163318358936.953,136681641063.04631,0.0,4000000000000.0,3956429988830.919,43570011169.080986,-20.0,6000000000000.0,5933655712408.382,66344287591.61808,-5.0,4200000000000.0,4154454954405.701,45545045594.29889,-24.406324456889,18100000000000.0,17898486235080.535,201513764919.4626,1.913675543111
18,3.501657e+18,0.0026288716216216223,3.462672255717409e+18,3.8984744282591864e+16,1.901881315191,716000000000000.0,708256072866815.5,7743927133184.466,-27.0,12300000000000.0,12163318358936.953,136681641063.04631,0.0,4000000000000.0,3956429988830.919,43570011169.080986,-20.0,6000000000000.0,5933655712408.382,66344287591.61808,-5.0,4200000000000.0,4154455225445.1055,45544774554.89469,-24.412193880797002,18100000000000.0,17898487402448.164,201512597551.83725,1.907806119203
19,3.50238e+18,0.0026294144144144147,3.463387436541471e+18,3.899256345852957e+16,1.895901200939,723000000000000.0,715180364081993.9,7819635918006.102,-27.0,12300000000000.0,12163318358936.953,136681641063.04631,0.0,4000000000000.0,3956429988830.919,43570011169.080986,-20.0,6000000000000.0,5933655712408.382,66344287591.61808,-5.0,4200000000000.0,4154455499041.899,45544500958.10136,-24.418118684809002,18100000000000.0,17898488580830.473,201511419169.5283,1.901881315191
20,3.50311e+18,0.002629962462462463,3.464109541655283e+18,3.9000458344717624e+16,1.889865846917,730000000000000.0,722104655297172.2,7895344702827.737,-27.0,12300000000000.0,12163318358936.953,136681641063.04631,0.0,4000000000000.0,3956429988830.919,43570011169.080986,-20.0,6000000000000.0,5933655712408.382,66344287591.61808,-5.0,4200000000000.0,4154455775192.856,45544224807.14407,-24.424098799061,18100000000000.0,17898489770213.574,201510229786.42673,1.895901200939
21,3.503867e+18,0.0026305307807807815,3.4648583547480177e+18,3.900864525198335e+16,1.883610403277,757000000000000.0,748812635698574.5,8187364301425.476,-27.0,12300000000000.0,12163318358936.953,136681641063.04631,0.0,4000000000000.0,3956429988830.919,43570011169.080986,-20.0,6000000000000.0,5933655712408.382,66344287591.61808,-5.0,4200000000000.0,4154456053894.7236,45543946105.276,-24.430134153083,18100000000000.0,17898490970583.457,201509029416.5438,1.889865846917
22,3.504651e+18,0.00263111936936937,3.4656338758196204e+18,3.901712418038069e+16,1.877135158705,784000000000000.0,775520616099976.8,8479383900023.214,-27.0,12300000000000.0,12163318358936.953,136681641063.04631,0.0,4000000000000.0,3956429988830.919,43570011169.080986,-20.0,6000000000000.0,5933655712408.382,66344287591.61808,-5.0,4200000000000.0,4154456342759.977,45543657240.02304,-24.436389596723,18100000000000.0,17898492214727.074,201507785272.92804,1.883610403277
23,3.505462e+18,0.0026317282282282287,3.4664361048700375e+18,3.9025895129963496e+16,1.870440411792,811000000000000.0,802228596501379.0,8771403498620.952,-27.0,12300000000000.0,12163318358936.953,136681641063.04631,0.0,4000000000000.0,3956429988830.919,43570011169.080986,-20.0,6000000000000.0,5933655712408.382,66344287591.61808,-5.0,4200000000000.0,4154456641775.288,45543358224.71197,-24.442864841295002,18100000000000.0,17898493502587.023,201506497412.97797,1.877135158705
24,3.5063e+18,0.0026323573573573578,3.4672650418992154e+18,3.903495810078557e+16,1.863526471004,838000000000000.0,828936576902781.2,9063423097218.691,-27.0,12300000000000.0,12163318358936.953,136681641063.04631,0.0,4000000000000.0,3956429988830.919,43570011169.080986,-20.0,6000000000000.0,5933655712408.382,66344287591.61808,-5.0,4200000000000.0,4154456950926.873,45543049073.12679,-24.449559588208,18100000000000.0,17898494834103.938,201505165896.06128,1.870440411792
25,3.507165e+18,0.0026330067567567573,3.4681206869071e+18,3.904431309290062e+16,1.856393654638,865000000000000.0,855644557304183.5,9355442695816.43,-27.0,12300000000000.0,12163318358936.953,136681641063.04631,0.0,4000000000000.0,3956429988830.919,43570011169.080986,-20.0,6000000000000.0,5933655712408.382,66344287591.61808,-5.0,4200000000000.0,4154457270200.4927,45542729799.507416,-24.456473528996,18100000000000.0,17898496209216.492,201503790783.50934,1.863526471004
