Ocean Time [a],Ocean DIC [mol],Ocean C^{12}$S [mol],Ocean C^{13}$S [mol],Ocean $\delta^{13}$C [[DIC]],Ocean DIC [mol/l],Fossil_Fuel_Burning_2_Ocean_Flux DIC [mol/a],Fossil_Fuel_Burning_2_Ocean_Flux DIC [C^{12}$S],Fossil_Fuel_Burning_2_Ocean_Flux DIC [C^{13}$S],Fossil_Fuel_Burning_2_Ocean_Flux DIC $\delta^{13}$C [[DIC]],Carbonate_Weathering_2_Ocean_Flux DIC [mol/a],Carbonate_Weathering_2_Ocean_Flux DIC [C^{12}$S],Carbonate_Weathering_2_Ocean_Flux DIC [C^{13}$S],Carbonate_Weathering_2_Ocean_Flux DIC $\delta^{13}$C [[DIC]],Organic_Weathering_2_Ocean_Flux DIC [mol/a],Organic_Weathering_2_Ocean_Flux DIC [C^{12}$S],Organic_Weathering_2_Ocean_Flux DIC [C^{13}$S],Organic_Weathering_2_Ocean_Flux DIC $\delta^{13}$C [[DIC]],Volcanic_2_Ocean_Flux DIC [mol/a],Volcanic_2_Ocean_Flux DIC [C^{12}$S],Volcanic_2_Ocean_Flux DIC [C^{13}$S],Volcanic_2_Ocean_Flux DIC $\delta^{13}$C [[DIC]],Ocean_2_OM_burial_Flux DIC [mol/a],Ocean_2_OM_burial_Flux DIC [C^{12}$S],Ocean_2_OM_burial_Flux DIC [C^{13}$S],Ocean_2_OM_burial_Flux DIC $\delta^{13}$C [[DIC]],Ocean_2_Carbonate_burial_Flux DIC [mol/a],Ocean_2_Carbonate_burial_Flux DIC [C^{12}$S],Ocean_2_Carbonate_burial_Flux DIC [C^{13}$S],Ocean_2_Carbonate_burial_Flux DIC $\delta^{13}$C [[DIC]]
17,3.4632042499999995e+18,3.4246438846193034e+18,3.8560365380696056e+16,1.999748045484995,0.0026000031906906907,250000000000.0,247298863718.778,2701136281.221985,-28.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4154453409581.168,45546590418.83203,-24.37287089304905,18100000000000.0,17898469113221.207,201530886778.79297,1.9997628655682596
18,3.4632044999999995e+18,3.424644132399701e+18,3.856036760029858e+16,1.9997332255050062,0.0026000033783783786,250000000000.0,247298863718.778,2701136281.221985,-28.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4154453410247.52,45546589752.47998,-24.37288532307564,18100000000000.0,17898469116168.76,201530883831.23828,1.9997480454877739
19,3.4632047499999995e+18,3.424644380180095e+18,3.856036981990471e+16,1.9997184056222728,0.002600003566066066,250000000000.0,247298863718.778,2701136281.221985,-28.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4154453410913.867,45546589086.13281,-24.372899752996478,18100000000000.0,17898469119116.297,201530880883.70312,1.9997332255054694
20,3.463205083333333e+18,3.4246447103934397e+18,3.8560372939893224e+16,1.999702863728585,0.0026000038163163167,333333333333.333,329731818291.7037,3601515041.6293335,-28.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4154453411580.2104,45546588419.78955,-24.37291418283288,18100000000000.0,17898469122063.812,201530877936.1875,1.9997184056215007
21,3.4632054166666665e+18,3.424645040606781e+18,3.856037605988552e+16,1.9996873219370923,0.002600004066566567,333333333333.333,329731818291.7037,3601515041.6293335,-28.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4154453412279.016,45546587720.98389,-24.372929315650946,18100000000000.0,17898469125154.93,201530874845.0703,1.9997028637196312
22,3.46320575e+18,3.424645370820118e+18,3.856037917988161e+16,1.999671780248412,0.0026000043168168175,333333333333.333,329731818291.7037,3601515041.6293335,-28.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4154453412977.8174,45546587022.18262,-24.372944448373765,18100000000000.0,17898469128246.023,201530871753.97656,1.999687321935703
23,3.4632060833333335e+18,3.4246457010334515e+18,3.856038229988149e+16,1.9996562386623904,0.0026000045670670677,333333333333.333,329731818291.7037,3601515041.6293335,-28.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4154453413676.6143,45546586323.38574,-24.372959581001492,18100000000000.0,17898469131337.098,201530868662.90234,1.999671780249956
24,3.463206416666667e+18,3.4246460312467814e+18,3.856038541988516e+16,1.9996406971788725,0.002600004817317318,333333333333.333,329731818291.7037,3601515041.6293335,-28.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4154453414375.4062,45546585624.59375,-24.372974713523472,18100000000000.0,17898469134428.15,201530865571.85156,1.9996562386819958
25,3.4632067500000005e+18,3.4246463614601073e+18,3.8560388539892616e+16,1.9996251557978584,0.0026000050675675686,333333333333.333,329731818291.7037,3601515041.6293335,-28.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4154453415074.194,45546584925.80615,-24.372989845950205,18100000000000.0,17898469137519.184,201530862480.8164,1.999640697192766
26,3.463207083333334e+18,3.4246466916734295e+18,3.8560391659903864e+16,1.9996096145195024,0.002600005317817819,333333333333.333,329731818291.7037,3601515041.6293335,-28.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4154453415772.977,45546584227.02295,-24.37300497828184,18100000000000.0,17898469140610.195,201530859389.8047,1.9996251558211686
