Ocean Time [a],Ocean DIC [mol],Ocean C^{12}$S [mol],Ocean C^{13}$S [mol],Ocean $\delta^{13}$C [[DIC]],Ocean DIC [mol/l],Fossil_Fuel_Burning_2_Ocean_Flux DIC [mol/a],Fossil_Fuel_Burning_2_Ocean_Flux DIC [C^{12}$S],Fossil_Fuel_Burning_2_Ocean_Flux DIC [C^{13}$S],Fossil_Fuel_Burning_2_Ocean_Flux DIC $\delta^{13}$C [[DIC]],Carbonate_Weathering_2_Ocean_Flux DIC [mol/a],Carbonate_Weathering_2_Ocean_Flux DIC [C^{12}$S],Carbonate_Weathering_2_Ocean_Flux DIC [C^{13}$S],Carbonate_Weathering_2_Ocean_Flux DIC $\delta^{13}$C [[DIC]],Organic_Weathering_2_Ocean_Flux DIC [mol/a],Organic_Weathering_2_Ocean_Flux DIC [C^{12}$S],Organic_Weathering_2_Ocean_Flux DIC [C^{13}$S],Organic_Weathering_2_Ocean_Flux DIC $\delta^{13}$C [[DIC]],Volcanic_2_Ocean_Flux DIC [mol/a],Volcanic_2_Ocean_Flux DIC [C^{12}$S],Volcanic_2_Ocean_Flux DIC [C^{13}$S],Volcanic_2_Ocean_Flux DIC $\delta^{13}$C [[DIC]],Ocean_2_OM_burial_Flux DIC [mol/a],Ocean_2_OM_burial_Flux DIC [C^{12}$S],Ocean_2_OM_burial_Flux DIC [C^{13}$S],Ocean_2_OM_burial_Flux DIC $\delta^{13}$C [[DIC]],Ocean_2_Carbonate_burial_Flux DIC [mol/a],Ocean_2_Carbonate_burial_Flux DIC [C^{12}$S],Ocean_2_Carbonate_burial_Flux DIC [C^{13}$S],Ocean_2_Carbonate_burial_Flux DIC $\delta^{13}$C [[DIC]]
185,3.4668434166666644e+18,3.4282438123864776e+18,3.859960428018762e+16,1.966129794562355,0.0026027352977977965,94166666666666.7,93149238667406.42,1017427999260.2812,-28.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4154454884647.828,45545115352.171875,-24.40481383313949,18100000000000.0,17898475638064.785,201524361935.21484,1.966956460912086
186,3.4669441666666644e+18,3.428343474301892e+18,3.860069236477307e+16,1.9652462587603454,0.0026028109359359348,100750000000000.0,99661442078667.55,1088557921332.4531,-28.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4154454921817.047,45545078182.953125,-24.405618741641444,18100000000000.0,17898475802479.96,201524197520.03906,1.966129794539508
187,3.467039333333331e+18,3.4284376132091346e+18,3.860172012419703e+16,1.9644110507772987,0.002602882382382381,95166666666666.7,94138434122281.53,1028232544385.1719,-28.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4154454961543.2754,45545038456.72461,-24.40647902279772,18100000000000.0,17898475978205.867,201524021794.1328,1.9652462587342563
188,3.4671386666666644e+18,3.4285358737639025e+18,3.860279290276268e+16,1.9635398730014868,0.002602956956956956,99333333333333.3,98260081850927.77,1073251482405.5312,-28.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4154454999096.551,45545000903.44922,-24.407292248109602,18100000000000.0,17898476144319.883,201523855680.1172,1.964411050762479
189,3.4672469166666644e+18,3.428642954644597e+18,3.860396202206813e+16,1.9625916705277964,0.0026030382257257244,108250000000000.0,107080407990230.88,1169592009769.125,-28.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4154455038267.129,45544961732.87109,-24.408140496489985,18100000000000.0,17898476317587.914,201523682412.08594,1.9635398729892912
190,3.467358083333331e+18,3.4287529206784707e+18,3.860516265486141e+16,1.961618321867413,0.0026031216841841827,111166666666667.0,109965561400283.62,1201105266383.375,-28.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4154455080900.952,45544919099.04785,-24.40906374226602,18100000000000.0,17898476506175.348,201523493824.65234,1.962591670508191
191,3.4674699166666644e+18,3.4288635461757435e+18,3.860637049092213e+16,1.960639279622346,0.002603205643143142,111833333333333.0,110625025036866.36,1208308296466.6406,-28.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4154455124665.4185,45544875334.58154,-24.410011472372126,18100000000000.0,17898476699764.094,201523300235.90625,1.9616183218501233
192,3.467585833333331e+18,3.4289782108875515e+18,3.860762244578085e+16,1.959625015396801,0.0026032926676676665,115916666666667.0,114664239810940.4,1252426855726.5938,-28.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4154455168685.887,45544831314.11279,-24.410964746252752,18100000000000.0,17898476894485.242,201523105514.7578,1.9606392795852963
193,3.467701083333331e+18,3.4290922161354757e+18,3.860886719785682e+16,1.9586165869644554,0.0026033791916916906,115250000000000.0,114004776174356.67,1245223825643.3281,-28.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4154455214290.034,45544785709.96582,-24.411952315046545,18100000000000.0,17898477096211.67,201522903788.32812,1.9596250153524957
194,3.4677977499999974e+18,3.429187838834284e+18,3.860991116571512e+16,1.9577688231803403,0.0026034517642642627,96666666666666.7,95622227304594.2,1044439362072.5,-28.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4154455259631.788,45544740368.211914,-24.412934201633586,18100000000000.0,17898477296777.426,201522703222.57422,1.9586165869266339
195,3.467900916666664e+18,3.4292898913033426e+18,3.8611025363323464e+16,1.9568649441661212,0.002603529216716715,103166666666667.0,102051997761282.73,1114668905384.2656,-28.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4154455297749.613,45544702250.38721,-24.413759652279808,18100000000000.0,17898477465388.684,201522534611.3164,1.9577688231460695
196,3.468016916666664e+18,3.429404638447185e+18,3.861227821948133e+16,1.95585023633227,0.0026036163038038024,116000000000000.0,114746672765513.0,1253327234487.0,-28.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4154455338390.536,45544661609.46387,-24.41463974121597,18100000000000.0,17898477645160.676,201522354839.32422,1.9568649441123993
197,3.4681393333333304e+18,3.4295257329282816e+18,3.861360040505118e+16,1.954780162734249,0.0026037082082082065,122416666666667.0,121094010267628.64,1322656399038.3594,-28.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4154455384014.633,45544615985.36719,-24.415627741944675,18100000000000.0,17898477846975.35,201522153024.64844,1.9558502362705208
198,3.4682575833333304e+18,3.429642705761389e+18,3.861487757194395e+16,1.953746169070164,0.002603796984484483,118250000000000.0,116972362538982.0,1277637461018.0,-28.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4154455432128.13,45544567871.87012,-24.41666965121086,18100000000000.0,17898478059801.695,201521940198.3047,1.954780162678829
199,3.468393416666664e+18,3.4297770719476593e+18,3.861634471900731e+16,1.952560354017112,0.00260389896146146,135833333333333.0,134365715953869.05,1467617379463.9531,-28.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4154455478619.3735,45544521380.626465,-24.417676430168978,18100000000000.0,17898478265452.13,201521734547.8711,1.9537461690053273
200,3.468540666666664e+18,3.429922731448417e+18,3.861793521825001e+16,1.9512760219890852,0.002604009509509508,147250000000000.0,145659030730360.25,1590969269639.75,-28.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4154455531936.932,45544468063.06787,-24.41883103457594,18100000000000.0,17898478501298.242,201521498701.7578,1.9525603539368377
201,3.4686902499999974e+18,3.430070699071589e+18,3.861955092841118e+16,1.9499716536623906,0.002604121809309308,149583333333333.0,147967153458401.84,1616179874931.1562,-28.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4154455589684.091,45544410315.90918,-24.420081562992724,18100000000000.0,17898478756738.344,201521243261.65625,1.9512760219247116
202,3.468843666666664e+18,3.430222458610353e+18,3.8621208056313416e+16,1.948634299662968,0.0026042369869869854,153416666666667.0,151759069368757.12,1657597297909.875,-28.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4154455648332.138,45544351667.86182,-24.42135160033168,18100000000000.0,17898479016163.465,201520983836.53516,1.9499716535966276
203,3.4689990833333304e+18,3.430376196539701e+18,3.862288679363201e+16,1.9472798011298622,0.0026043536661661646,155416666666667.0,153737460278507.34,1679206388159.6562,-28.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4154455708463.3154,45544291536.68457,-24.4226537551619,18100000000000.0,17898479282149.098,201520717850.90234,1.948634299590567
204,3.469169249999997e+18,3.4305445251016786e+18,3.8624724898321496e+16,1.9457980680423357,0.002604481418918917,170166666666667.0,168328093237915.25,1838573428751.75,-28.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4154455769365.3613,45544230634.63867,-24.423972603296246,18100000000000.0,17898479551544.605,201520448455.39453,1.9472798010523669
205,3.4693506666666634e+18,3.430723982112162e+18,3.862668455450496e+16,1.944219357627811,0.0026046176176176155,181416666666667.0,179456542105260.25,1960124561406.75,-28.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4154455835988.232,45544164011.76807,-24.42541533719143,18100000000000.0,17898479846245.74,201520153754.26172,1.9457980679520273
206,3.46953983333333e+18,3.430911105387035e+18,3.862872794629811e+16,1.9425739165582838,0.0026047596346346325,189166666666667.0,187122806880542.38,2043859786124.625,-28.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4154455906971.476,45544093028.523926,-24.426952495947685,18100000000000.0,17898480160234.65,201519839765.35156,1.9442193575444495
207,3.4697339999999964e+18,3.431103174638782e+18,3.8630825361218136e+16,1.9408855052732186,0.002604905405405403,194166666666667.0,192068784154917.94,2097882511749.0625,-28.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4154455980955.12,45544019044.87988,-24.428554629009923,18100000000000.0,17898480487495.598,201519512504.40234,1.9425739164753855
208,3.4699384999999964e+18,3.431305465576484e+18,3.863303442351618e+16,1.9391081064440943,0.002605058933933932,204500000000000.0,202290470521960.4,2209529478039.5938,-28.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4154456056870.8286,45543943129.17139,-24.43019860131891,18100000000000.0,17898480823302.887,201519176697.11328,1.9408855051767353
209,3.47015258333333e+18,3.4315172363035284e+18,3.863534702980508e+16,1.9372482247146174,0.0026052196571571553,214083333333333.0,211770260297846.56,2313073035486.4375,-28.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4154456136787.669,45543863212.331055,-24.431929219002733,18100000000000.0,17898481176808.875,201518823191.125,1.9391081063496178
210,3.47036758333333e+18,3.4317299137926195e+18,3.863766954071389e+16,1.935380674626677,0.0026053810685685666,215000000000000.0,212677022798149.1,2322977201850.9062,-28.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4154456220413.1763,45543779586.82373,-24.433740148657787,18100000000000.0,17898481546719.863,201518453280.13672,1.937248224616436
211,3.4705914166666634e+18,3.43195132917444e+18,3.86400874922267e+16,1.9334371559537311,0.0026055491116116097,223833333333333.0,221414915982878.9,2418417350454.0938,-28.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4154456304383.4775,45543695616.52246,-24.435558544831938,18100000000000.0,17898481918156.02,201518081843.98047,1.935380674542698
212,3.470827499999997e+18,3.4321848622001085e+18,3.864263779989123e+16,1.9313882245748315,0.0026057263513513495,236083333333333.0,233532560305099.03,2550773028233.9688,-28.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4154456391769.5425,45543608230.45752,-24.437450910075444,18100000000000.0,17898482304701.55,201517695298.44922,1.93343715587145
213,3.4710770833333304e+18,3.4324317493639183e+18,3.8645333969414584e+16,1.9292231427156066,0.0026059137262262246,249583333333333.0,246886698945913.06,2696634387419.9375,-28.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4154456483895.263,45543516104.73682,-24.439445913563393,18100000000000.0,17898482712212.582,201517287787.41797,1.9313882245069072
214,3.471337916666664e+18,3.4326897649760676e+18,3.864815169059855e+16,1.9269613654995983,0.0026061095470470454,260833333333333.0,258015147813258.06,2818185520074.9375,-28.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4154456581243.4414,45543418756.55859,-24.441554010463616,18100000000000.0,17898483142824.75,201516857175.25,1.9292231426614215
215,3.471611916666664e+18,3.432960804994488e+18,3.86511116721782e+16,1.9245864105626633,0.002606315252752751,274000000000000.0,271039554635780.72,2960445364219.2812,-28.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4154456682939.32,45543317060.680176,-24.443756257693014,18100000000000.0,17898483592668.64,201516407331.35938,1.926961365439547
216,3.471894666666664e+18,3.433240500472559e+18,3.865416619410683e+16,1.9221364096225564,0.002606527527527526,282750000000000.0,279695014865937.94,3054985134062.0625,-28.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4154456789723.9937,45543210276.00635,-24.44606870382123,18100000000000.0,17898484065022.42,201515934977.57812,1.9245864105044646
217,3.4721918333333304e+18,3.4335344568511744e+18,3.8657376482158456e+16,1.919562554554082,0.002606750625625624,297166666666667.0,293955916007054.5,3210750659612.5,-28.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4154456899882.953,45543100117.046875,-24.448454220739187,18100000000000.0,17898484552302.098,201515447697.90234,1.9221364095631226
218,3.4725068333333304e+18,3.43384605388144e+18,3.866077945189245e+16,1.916835464453851,0.0026069871121121102,315000000000000.0,311596568285660.3,3403431714339.6875,-28.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4154457015610.75,45542984389.25,-24.45096033194105,18100000000000.0,17898485064215.1,201514935784.89844,1.9195625544778216
219,3.4728445833333304e+18,3.43418015510764e+18,3.866442822569304e+16,1.9139128593852326,0.0026072406781781766,337750000000000.0,334100764884069.1,3649235115930.875,-28.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4154457138228.434,45542861771.56592,-24.453615645031658,18100000000000.0,17898485606604.984,201514393395.01562,1.9168354643958065
220,3.473195249999997e+18,3.4345270334410854e+18,3.866821655891418e+16,1.9108795669001322,0.0026075039414414397,350666666666667.0,346877872842873.0,3788793823794.0,-28.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4154457269637.0317,45542730362.96826,-24.456461327127755,18100000000000.0,17898486187880.805,201513812119.1953,1.9139128593191608
221,3.4735599166666634e+18,3.4348877605101594e+18,3.867215615650674e+16,1.9077263243686668,0.0026077777152152134,364666666666667.0,360726609211124.56,3940057455542.4375,-28.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4154457406022.4585,45542593977.541504,-24.459414783362504,18100000000000.0,17898486791171.242,201513208828.7578,1.910879566832208
222,3.4739444166666634e+18,3.435268106621653e+18,3.86763100450132e+16,1.9044029772119708,0.002608066378878877,384500000000000.0,380345652399480.56,4154347600519.4375,-28.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4154457547801.189,45542452198.811035,-24.462485032562828,18100000000000.0,17898487418318.543,201512581681.45703,1.9077263243030582
223,3.4743296666666634e+18,3.4356491946289275e+18,3.868047203773891e+16,1.9010739302488844,0.0026083556056056036,385250000000000.0,381087548990636.94,4162451009363.0625,-28.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4154457697228.3154,45542302771.68457,-24.465720909212852,18100000000000.0,17898488079297.94,201511920702.0586,1.904402977144664
224,3.4747126666666634e+18,3.4360280569456164e+18,3.868460972104989e+16,1.8977650092798213,0.0026086431431431413,383000000000000.0,378861859217167.94,4138140782832.0625,-28.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4154457846911.733,45542153088.26709,-24.468962335666596,18100000000000.0,17898488741411.023,201511258588.97656,1.9010739301693822
225,3.475117999999997e+18,3.4364290112933243e+18,3.8688988706675544e+16,1.8942646542935506,0.0026089474474474458,405333333333333.0,400953891042711.75,4379442290621.25,-28.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4154457995690.239,45542004309.76123,-24.472184165833852,18100000000000.0,17898489399521.297,201510600478.70312,1.8977650092115883
226,3.475535999999997e+18,3.4368424954492733e+18,3.869350455072635e+16,1.8906561646484985,0.0026092612612612595,418000000000000.0,413483700137796.8,4516299862203.1875,-28.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4154458153076.1753,45541846923.82471,-24.47559239149073,18100000000000.0,17898490095705.88,201509904294.1211,1.894264654221304
227,3.4759588333333304e+18,3.437260760715708e+18,3.869807261762521e+16,1.887006994351354,0.002609578703703702,422833333333333.0,418264811503026.2,4568521830306.8125,-28.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4154458315324.1655,45541684675.83447,-24.479105905675848,18100000000000.0,17898490813397.387,201509186602.61328,1.8906561645805744
228,3.476405249999997e+18,3.4377023545073966e+18,3.870289549260311e+16,1.8831559444552894,0.0026099138513513494,446416666666667.0,441593337647164.94,4823329019502.0625,-28.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4154458479401.287,45541520598.71289,-24.482659029804193,18100000000000.0,17898491539179.918,201508460820.08203,1.887006994281423
229,3.476846999999997e+18,3.4381393320526904e+18,3.870766794730953e+16,1.8793460260848933,0.0026102454954954938,441750000000000.0,436977092191080.75,4772907808919.25,-28.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4154458652555.507,45541347444.493164,-24.486408720072614,18100000000000.0,17898492305114.293,201507694885.70703,1.8831559443884458
230,3.4772751666666634e+18,3.4385628730254597e+18,3.871229364120706e+16,1.8756538423904523,0.00261056694194194,428166666666667.0,423540520595694.1,4626146070972.875,-28.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4154458823860.35,45541176139.6499,-24.490118361405575,18100000000000.0,17898493062868.098,201506937131.90234,1.8793460259993706
231,3.4776996666666634e+18,3.4389827869473275e+18,3.871687971933947e+16,1.8719940972718248,0.002610885635635634,424500000000000.0,419913470594485.06,4586529405514.9375,-28.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4154458989871.5176,45541010128.48242,-24.493713366817595,18100000000000.0,17898493797205.74,201506202794.26172,1.875653842297674
232,3.47812258333333e+18,3.439401134642166e+18,3.872144869116788e+16,1.8683488705047686,0.0026112031406406388,422916666666667.0,418347244457599.8,4569422209067.1875,-28.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4154459154424.167,45540845575.83301,-24.49727678744211,18100000000000.0,17898494525091.734,201505474908.26562,1.871994097184141
233,3.4785607499999964e+18,3.439834567566802e+18,3.872618243319834e+16,1.8645735834114967,0.0026115320945945923,438166666666667.0,433432475144445.25,4734191522221.75,-28.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4154459318324.044,45540681675.956055,-24.50082607186767,18100000000000.0,17898495250090.24,201504749909.76172,1.8683488704167759
234,3.479012166666663e+18,3.440281107330295e+18,3.873105933637231e+16,1.8606855075165525,0.0026118709959959937,451416666666667.0,446539314921540.5,4877351745126.5,-28.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4154459488071.8193,45540511928.180664,-24.50450199340127,18100000000000.0,17898496000956.48,201503999043.51953,1.8645735833171746
235,3.479477416666663e+18,3.4407413309632983e+18,3.873608570336864e+16,1.8566797247598597,0.0026122202827827804,465250000000000.0,460223185380645.9,5026814619354.125,-28.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4154459662890.9185,45540337109.08154,-24.508287735135962,18100000000000.0,17898496774255.336,201503225744.66406,1.8606855074115787
236,3.4799544999999964e+18,3.4412132600748744e+18,3.874123992512576e+16,1.8525734934634954,0.0026125784534534514,477083333333333.0,471928664930001.06,5154668403331.9375,-28.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4154459843002.473,45540156997.526855,-24.512188085696454,18100000000000.0,17898497570964.96,201502429035.03906,1.8566797246496372
237,3.480449166666663e+18,3.441702582538864e+18,3.874658412780265e+16,1.8483175690672213,0.0026129498248248224,494666666666667.0,489322018344889.1,5344648321777.875,-28.0,12300000000000.0,12163318358936.953,136681641063.04688,0.0,4000000000000.0,3956429988830.919,43570011169.081055,-19.999999999998362,6000000000000.0,5933655712408.382,66344287591.618164,-4.999999999998896,4200000000000.0,4154460027630.499,45539972369.50098,-24.516186240963158,18100000000000.0,17898498387652.85,201501612347.14844,1.8525734933747307
