Elevation,CumSum
-10000,0.0000017654794802
-9000,0.0000552149048061
-8000,0.0002754177002836
-7000,0.0008791212232272
-6000,0.0062554339564023
-5000,0.1492562451133942
-4000,0.3765027019072512
-3000,0.5360916871937620
-2000,0.5962608753162696
-1000,0.6274832860128746
0,0.7089511818835015
1000,0.9250714514068609
2000,0.9687171086900810
3000,0.9853530512713018
4000,0.9948906152770369
5000,0.9986807694676183
6000,0.9999955034235187
7000,0.9999999999999999
8000,0.9999999999999999
9000,0.9999999999999999
